"h24_30vD and h24_45vD","h8_45vD and h24_45vD","h8_30vD and h24_45vD","h24_45vD and h24_30vD","h8_45vD and h24_30vD","h8_30vD and h24_30vD","h24_45vD and h8_45vD","h24_30vD and h8_45vD","h8_30vD and h8_45vD","h24_45vD and h8_30vD","h24_30vD and h8_30vD","h8_45vD and h8_30vD","h24_45vD","h24_30vD and not h24_45vD","h8_45vD and not h24_45vD","h8_30vD and not h24_45vD","h24_45vD and not h24_30vD","h24_30vD","h8_45vD and not h24_30vD","h8_30vD and not h24_30vD","h24_45vD and not h8_45vD","h24_30vD and not h8_45vD","h8_45vD","h8_30vD and not h8_45vD","h24_45vD and not h8_30vD","h24_30vD and not h8_30vD","h8_45vD and not h8_30vD","h8_30vD"
"1790","SPATA13","TATDN3","","SPOCK1","","TMCC2","","","","","","","","","","","","","","","","","","","","","",""
"1791","SPATS2","TBCD","","SPRN","","TMCO1","","","","","","","","","","","","","","","","","","","","","",""
"1792","SPATS2L","TBKBP1","","SPSB1","","TMEM100","","","","","","","","","","","","","","","","","","","","","",""
"1793","SPC25","TBL1XR1","","SQLE","","TMEM109","","","","","","","","","","","","","","","","","","","","","",""
"1794","SPCS2","TBRG1","","SQSTM1","","TMEM129","","","","","","","","","","","","","","","","","","","","","",""
"1795","SPECC1L","TCEA1","","SRGAP1","","TMEM139","","","","","","","","","","","","","","","","","","","","","",""
"1796","SPIN3","TCEAL8","","SRRM1","","TMEM14A","","","","","","","","","","","","","","","","","","","","","",""
"1797","SPIRE1","TCERG1","","SRRT","","TMEM167A","","","","","","","","","","","","","","","","","","","","","",""
"1798","SPOCK1","TCF20","","SRSF1","","TMEM167B","","","","","","","","","","","","","","","","","","","","","",""
"1799","SPRN","TCP1","","SRSF10","","TMEM182","","","","","","","","","","","","","","","","","","","","","",""
"1800","SPSB1","TCP11L2","","SRSF11","","TMEM184A","","","","","","","","","","","","","","","","","","","","","",""
"1801","SQLE","TCTN2","","SRSF2","","TMEM189-UBE2V1","","","","","","","","","","","","","","","","","","","","","",""
"1802","SQSTM1","TCTN3","","SRSF3","","TMEM19","","","","","","","","","","","","","","","","","","","","","",""
"1803","SRGAP1","TEAD2","","SRSF6","","TMEM206","","","","","","","","","","","","","","","","","","","","","",""
"1804","SRRM1","TERF2IP","","SRSF7","","TMEM209","","","","","","","","","","","","","","","","","","","","","",""
"1805","SRRT","TFAP2A","","SRXN1","","TMEM39B","","","","","","","","","","","","","","","","","","","","","",""
"1806","SRSF1","TFCP2L1","","SSR2","","TMEM43","","","","","","","","","","","","","","","","","","","","","",""
"1807","SRSF10","TFE3","","ST13","","TMEM45B","","","","","","","","","","","","","","","","","","","","","",""
"1808","SRSF11","TFIP11","","ST14","","TMEM48","","","","","","","","","","","","","","","","","","","","","",""
"1809","SRSF2","TGFA","","ST3GAL1","","TMEM50B","","","","","","","","","","","","","","","","","","","","","",""
"1810","SRSF3","TGFB2","","ST6GAL2","","TMEM60","","","","","","","","","","","","","","","","","","","","","",""
"1811","SRSF6","TGFBR2","","ST6GALNAC3","","TMEM63A","","","","","","","","","","","","","","","","","","","","","",""
"1812","SRSF7","TGIF1","","ST8SIA1","","TMEM70","","","","","","","","","","","","","","","","","","","","","",""
"1813","SRXN1","TGM1","","ST8SIA4","","TMEM79","","","","","","","","","","","","","","","","","","","","","",""
"1814","SSR2","THAP10","","STAC","","TMEM87A","","","","","","","","","","","","","","","","","","","","","",""
"1815","ST13","THEM4","","STAMBP","","TMEM97","","","","","","","","","","","","","","","","","","","","","",""
"1816","ST14","THOC3","","STARD10","","TMPO","","","","","","","","","","","","","","","","","","","","","",""
"1817","ST3GAL1","THRAP3","","STARD13","","TMPRSS3","","","","","","","","","","","","","","","","","","","","","",""
"1818","ST6GAL2","THSD4","","STARD4","","TMSB15A","","","","","","","","","","","","","","","","","","","","","",""
"1819","ST6GALNAC3","TIA1","","STC2","","TMX1","","","","","","","","","","","","","","","","","","","","","",""
"1820","ST8SIA1","TIMM17A","","STEAP3","","TNC","","","","","","","","","","","","","","","","","","","","","",""
"1821","ST8SIA4","TIMM23","","STIL","","TNFAIP8L1","","","","","","","","","","","","","","","","","","","","","",""
"1822","STAC","TIMM44","","STIM1","","TNFRSF10A","","","","","","","","","","","","","","","","","","","","","",""
"1823","STAMBP","TIMM9","","STIM2","","TNFRSF10B","","","","","","","","","","","","","","","","","","","","","",""
"1824","STARD10","TIMP4","","STIP1","","TNFRSF12A","","","","","","","","","","","","","","","","","","","","","",""
"1825","STARD13","TJAP1","","STK24","","TNFRSF19","","","","","","","","","","","","","","","","","","","","","",""
"1826","STARD4","TK1","","STK32C","","TNIK","","","","","","","","","","","","","","","","","","","","","",""
"1827","STC2","TLK2","","STK4","","TNIP1","","","","","","","","","","","","","","","","","","","","","",""
"1828","STEAP3","TLX3","","STK40","","TNIP2","","","","","","","","","","","","","","","","","","","","","",""
"1829","STIL","TM7SF2","","STMN1","","TNRC6B","","","","","","","","","","","","","","","","","","","","","",""
"1830","STIM1","TMC4","","STOM","","TNS1","","","","","","","","","","","","","","","","","","","","","",""
"1831","STIM2","TMCC2","","STON1","","TNS3","","","","","","","","","","","","","","","","","","","","","",""
"1832","STIP1","TMCO1","","STRN4","","TOMM70A","","","","","","","","","","","","","","","","","","","","","",""
"1833","STK24","TMEM100","","STT3B","","TOP1MT","","","","","","","","","","","","","","","","","","","","","",""
"1834","STK32C","TMEM109","","STX16","","TOP2A","","","","","","","","","","","","","","","","","","","","","",""
"1835","STK4","TMEM129","","STX17","","TOP2B","","","","","","","","","","","","","","","","","","","","","",""
"1836","STK40","TMEM139","","STX6","","TP53BP1","","","","","","","","","","","","","","","","","","","","","",""
"1837","STMN1","TMEM14A","","STXBP6","","TPD52L1","","","","","","","","","","","","","","","","","","","","","",""
"1838","STOM","TMEM167A","","SUB1","","TPGS2","","","","","","","","","","","","","","","","","","","","","",""
"1839","STON1","TMEM167B","","SUCLG1","","TPM3","","","","","","","","","","","","","","","","","","","","","",""
"1840","STRN4","TMEM182","","SUFU","","TPRA1","","","","","","","","","","","","","","","","","","","","","",""
"1841","STT3B","TMEM184A","","SUMF2","","TPT1","","","","","","","","","","","","","","","","","","","","","",""
"1842","STX16","TMEM189-UBE2V1","","SUMO2","","TPX2","","","","","","","","","","","","","","","","","","","","","",""
"1843","STX17","TMEM19","","SUN2","","TRA2A","","","","","","","","","","","","","","","","","","","","","",""
"1844","STX6","TMEM206","","SUOX","","TRA2B","","","","","","","","","","","","","","","","","","","","","",""
"1845","STXBP6","TMEM209","","SURF4","","TRAFD1","","","","","","","","","","","","","","","","","","","","","",""
"1846","SUB1","TMEM39B","","SYAP1","","TRAPPC10","","","","","","","","","","","","","","","","","","","","","",""
"1847","SUCLG1","TMEM43","","SYBU","","TRAPPC6B","","","","","","","","","","","","","","","","","","","","","",""
"1848","SUFU","TMEM45B","","SYK","","TRERF1","","","","","","","","","","","","","","","","","","","","","",""
"1849","SUMF2","TMEM48","","SYNCRIP","","TRHDE","","","","","","","","","","","","","","","","","","","","","",""
"1850","SUMO2","TMEM50B","","SYNE1","","TRIB1","","","","","","","","","","","","","","","","","","","","","",""
"1851","SUN2","TMEM60","","SYNJ2BP","","TRIM16L","","","","","","","","","","","","","","","","","","","","","",""
"1852","SUOX","TMEM63A","","SYT7","","TRIM24","","","","","","","","","","","","","","","","","","","","","",""
"1853","SURF4","TMEM70","","SYTL1","","TRIM25","","","","","","","","","","","","","","","","","","","","","",""
"1854","SYAP1","TMEM79","","TACC2","","TRIM5","","","","","","","","","","","","","","","","","","","","","",""
"1855","SYBU","TMEM87A","","TACC3","","TRIM8","","","","","","","","","","","","","","","","","","","","","",""
"1856","SYK","TMEM97","","TAGLN2","","TRIOBP","","","","","","","","","","","","","","","","","","","","","",""
"1857","SYNCRIP","TMPO","","TANC2","","TRIP12","","","","","","","","","","","","","","","","","","","","","",""
"1858","SYNE1","TMPRSS3","","TAOK3","","TRMT1L","","","","","","","","","","","","","","","","","","","","","",""
"1859","SYNJ2BP","TMSB15A","","TAP2","","TRMT61A","","","","","","","","","","","","","","","","","","","","","",""
"1860","SYT7","TMX1","","TARDBP","","TROAP","","","","","","","","","","","","","","","","","","","","","",""
"1861","SYTL1","TNC","","TARS","","TRPS1","","","","","","","","","","","","","","","","","","","","","",""
"1862","TACC2","TNFAIP8L1","","TATDN1","","TRPV6","","","","","","","","","","","","","","","","","","","","","",""
"1863","TACC3","TNFRSF10A","","TATDN3","","TSC22D1","","","","","","","","","","","","","","","","","","","","","",""
"1864","TAGLN2","TNFRSF10B","","TBCD","","TSEN15","","","","","","","","","","","","","","","","","","","","","",""
"1865","TANC2","TNFRSF12A","","TBKBP1","","TSHR","","","","","","","","","","","","","","","","","","","","","",""
"1866","TAOK3","TNFRSF19","","TBL1XR1","","TSHZ1","","","","","","","","","","","","","","","","","","","","","",""
"1867","TAP2","TNIK","","TBRG1","","TSPAN12","","","","","","","","","","","","","","","","","","","","","",""
"1868","TARDBP","TNIP1","","TCEA1","","TSPAN13","","","","","","","","","","","","","","","","","","","","","",""
"1869","TARS","TNIP2","","TCEAL8","","TSPAN3","","","","","","","","","","","","","","","","","","","","","",""
"1870","TATDN1","TNRC6B","","TCERG1","","TSPO","","","","","","","","","","","","","","","","","","","","","",""
"1871","TATDN3","TNS1","","TCF20","","TSSK6","","","","","","","","","","","","","","","","","","","","","",""
"1872","TBCD","TNS3","","TCP1","","TSTD2","","","","","","","","","","","","","","","","","","","","","",""
"1873","TBKBP1","TOMM70A","","TCP11L2","","TTC1","","","","","","","","","","","","","","","","","","","","","",""
"1874","TBL1XR1","TOP1MT","","TCTN2","","TTC17","","","","","","","","","","","","","","","","","","","","","",""
"1875","TBRG1","TOP2A","","TCTN3","","TTC19","","","","","","","","","","","","","","","","","","","","","",""
"1876","TCEA1","TOP2B","","TEAD2","","TTC30A","","","","","","","","","","","","","","","","","","","","","",""
"1877","TCEAL8","TP53BP1","","TERF2IP","","TTC30B","","","","","","","","","","","","","","","","","","","","","",""
"1878","TCERG1","TPD52L1","","TFAP2A","","TTC39A","","","","","","","","","","","","","","","","","","","","","",""
"1879","TCF20","TPGS2","","TFCP2L1","","TTC39B","","","","","","","","","","","","","","","","","","","","","",""
"1880","TCP1","TPM3","","TFE3","","TTC7B","","","","","","","","","","","","","","","","","","","","","",""
"1881","TCP11L2","TPRA1","","TFIP11","","TTK","","","","","","","","","","","","","","","","","","","","","",""
"1882","TCTN2","TPT1","","TGFA","","TTPAL","","","","","","","","","","","","","","","","","","","","","",""
"1883","TCTN3","TPX2","","TGFB2","","TUB","","","","","","","","","","","","","","","","","","","","","",""
"1884","TEAD2","TRA2A","","TGFBR2","","TUBA1A","","","","","","","","","","","","","","","","","","","","","",""
"1885","TERF2IP","TRA2B","","TGIF1","","TUBB","","","","","","","","","","","","","","","","","","","","","",""
"1886","TFAP2A","TRAFD1","","TGM1","","TUBB3","","","","","","","","","","","","","","","","","","","","","",""
"1887","TFCP2L1","TRAPPC10","","THAP10","","TUBB4A","","","","","","","","","","","","","","","","","","","","","",""
"1888","TFE3","TRAPPC6B","","THEM4","","TUBB4B","","","","","","","","","","","","","","","","","","","","","",""
"1889","TFIP11","TRERF1","","THOC3","","TUBD1","","","","","","","","","","","","","","","","","","","","","",""
"1890","TGFA","TRHDE","","THRAP3","","TULP4","","","","","","","","","","","","","","","","","","","","","",""
"1891","TGFB2","TRIB1","","THSD4","","TWSG1","","","","","","","","","","","","","","","","","","","","","",""
"1892","TGFBR2","TRIM24","","TIA1","","TXLNG","","","","","","","","","","","","","","","","","","","","","",""
"1893","TGIF1","TRIM25","","TIMM17A","","TXNDC11","","","","","","","","","","","","","","","","","","","","","",""
"1894","TGM1","TRIM5","","TIMM23","","TXNDC15","","","","","","","","","","","","","","","","","","","","","",""
"1895","THAP10","TRIM8","","TIMM44","","TXNDC9","","","","","","","","","","","","","","","","","","","","","",""
"1896","THEM4","TRIOBP","","TIMM9","","TXNL4B","","","","","","","","","","","","","","","","","","","","","",""
"1897","THOC3","TRIP12","","TIMP4","","TXNRD1","","","","","","","","","","","","","","","","","","","","","",""
"1898","THRAP3","TRMT1L","","TJAP1","","TYMP","","","","","","","","","","","","","","","","","","","","","",""
"1899","THSD4","TRMT61A","","TK1","","TYW5","","","","","","","","","","","","","","","","","","","","","",""
"1900","TIA1","TROAP","","TLK2","","UAP1","","","","","","","","","","","","","","","","","","","","","",""
"1901","TIMM17A","TRPS1","","TLX3","","UBAC1","","","","","","","","","","","","","","","","","","","","","",""
"1902","TIMM23","TRPV6","","TM7SF2","","UBE2C","","","","","","","","","","","","","","","","","","","","","",""
"1903","TIMM44","TSC22D1","","TMC4","","UBE2E1","","","","","","","","","","","","","","","","","","","","","",""
"1904","TIMM9","TSC22D3","","TMCC2","","UBE2F","","","","","","","","","","","","","","","","","","","","","",""
"1905","TIMP4","TSEN15","","TMCO1","","UBE2L3","","","","","","","","","","","","","","","","","","","","","",""
"1906","TJAP1","TSHR","","TMEM100","","UBE2N","","","","","","","","","","","","","","","","","","","","","",""
"1907","TK1","TSHZ1","","TMEM109","","UBE2T","","","","","","","","","","","","","","","","","","","","","",""
"1908","TLK2","TSPAN12","","TMEM129","","UBE2V1","","","","","","","","","","","","","","","","","","","","","",""
"1909","TLX3","TSPAN13","","TMEM139","","UBE2V2","","","","","","","","","","","","","","","","","","","","","",""
"1910","TM7SF2","TSPAN3","","TMEM14A","","UBFD1","","","","","","","","","","","","","","","","","","","","","",""
"1911","TMC4","TSPO","","TMEM167A","","UBQLN2","","","","","","","","","","","","","","","","","","","","","",""
"1912","TMCC2","TSPYL1","","TMEM167B","","UBR3","","","","","","","","","","","","","","","","","","","","","",""
"1913","TMCO1","TSSK6","","TMEM182","","UBTD1","","","","","","","","","","","","","","","","","","","","","",""
"1914","TMEM100","TSTD2","","TMEM184A","","UCHL1","","","","","","","","","","","","","","","","","","","","","",""
"1915","TMEM109","TTC1","","TMEM189-UBE2V1","","UGDH","","","","","","","","","","","","","","","","","","","","","",""
"1916","TMEM129","TTC17","","TMEM19","","UGT2B7","","","","","","","","","","","","","","","","","","","","","",""
"1917","TMEM139","TTC19","","TMEM206","","UHRF1","","","","","","","","","","","","","","","","","","","","","",""
"1918","TMEM14A","TTC30A","","TMEM209","","ULBP1","","","","","","","","","","","","","","","","","","","","","",""
"1919","TMEM167A","TTC30B","","TMEM39B","","UNC5B","","","","","","","","","","","","","","","","","","","","","",""
"1920","TMEM167B","TTC39A","","TMEM43","","UNC5C","","","","","","","","","","","","","","","","","","","","","",""
"1921","TMEM182","TTC39B","","TMEM45B","","UQCR10","","","","","","","","","","","","","","","","","","","","","",""
"1922","TMEM184A","TTC7B","","TMEM48","","UQCRB","","","","","","","","","","","","","","","","","","","","","",""
"1923","TMEM189-UBE2V1","TTK","","TMEM50B","","UQCRFS1","","","","","","","","","","","","","","","","","","","","","",""
"1924","TMEM19","TTPAL","","TMEM60","","URI1","","","","","","","","","","","","","","","","","","","","","",""
"1925","TMEM206","TUB","","TMEM63A","","USF1","","","","","","","","","","","","","","","","","","","","","",""
"1926","TMEM209","TUBA1A","","TMEM70","","USP14","","","","","","","","","","","","","","","","","","","","","",""
"1927","TMEM39B","TUBB","","TMEM79","","USP22","","","","","","","","","","","","","","","","","","","","","",""
"1928","TMEM43","TUBB3","","TMEM87A","","USP3","","","","","","","","","","","","","","","","","","","","","",""
"1929","TMEM45B","TUBB4A","","TMEM97","","USP36","","","","","","","","","","","","","","","","","","","","","",""
"1930","TMEM48","TUBB4B","","TMPO","","USP46","","","","","","","","","","","","","","","","","","","","","",""
"1931","TMEM50B","TUBD1","","TMPRSS3","","USP48","","","","","","","","","","","","","","","","","","","","","",""
"1932","TMEM60","TULP4","","TMSB15A","","USP5","","","","","","","","","","","","","","","","","","","","","",""
"1933","TMEM63A","TWSG1","","TMX1","","UTP3","","","","","","","","","","","","","","","","","","","","","",""
"1934","TMEM70","TXLNG","","TNC","","UTRN","","","","","","","","","","","","","","","","","","","","","",""
"1935","TMEM79","TXNDC11","","TNFAIP8L1","","UVRAG","","","","","","","","","","","","","","","","","","","","","",""
"1936","TMEM87A","TXNDC15","","TNFRSF10A","","VANGL1","","","","","","","","","","","","","","","","","","","","","",""
"1937","TMEM97","TXNDC9","","TNFRSF10B","","VAV3","","","","","","","","","","","","","","","","","","","","","",""
"1938","TMPO","TXNL4B","","TNFRSF12A","","VBP1","","","","","","","","","","","","","","","","","","","","","",""
"1939","TMPRSS3","TXNRD1","","TNFRSF19","","VCAN","","","","","","","","","","","","","","","","","","","","","",""
"1940","TMSB15A","TYMP","","TNIK","","VCP","","","","","","","","","","","","","","","","","","","","","",""
"1941","TMX1","TYW5","","TNIP1","","VDAC3","","","","","","","","","","","","","","","","","","","","","",""
"1942","TNC","UAP1","","TNIP2","","VHL","","","","","","","","","","","","","","","","","","","","","",""
"1943","TNFAIP8L1","UBAC1","","TNRC6B","","VIT","","","","","","","","","","","","","","","","","","","","","",""
"1944","TNFRSF10A","UBAP2L","","TNS1","","VOPP1","","","","","","","","","","","","","","","","","","","","","",""
"1945","TNFRSF10B","UBE2C","","TNS3","","VPS18","","","","","","","","","","","","","","","","","","","","","",""
"1946","TNFRSF12A","UBE2E1","","TOMM70A","","VPS37A","","","","","","","","","","","","","","","","","","","","","",""
"1947","TNFRSF19","UBE2F","","TOP1MT","","VPS37C","","","","","","","","","","","","","","","","","","","","","",""
"1948","TNIK","UBE2L3","","TOP2A","","VPS72","","","","","","","","","","","","","","","","","","","","","",""
"1949","TNIP1","UBE2N","","TOP2B","","VRK1","","","","","","","","","","","","","","","","","","","","","",""
"1950","TNIP2","UBE2T","","TOX2","","VTA1","","","","","","","","","","","","","","","","","","","","","",""
"1951","TNRC6B","UBE2V1","","TP53BP1","","WAC","","","","","","","","","","","","","","","","","","","","","",""
"1952","TNS1","UBE2V2","","TPD52L1","","WARS","","","","","","","","","","","","","","","","","","","","","",""
"1953","TNS3","UBFD1","","TPGS2","","WASF2","","","","","","","","","","","","","","","","","","","","","",""
"1954","TOMM70A","UBQLN2","","TPM3","","WASH1","","","","","","","","","","","","","","","","","","","","","",""
"1955","TOP1MT","UBR3","","TPRA1","","WBP11","","","","","","","","","","","","","","","","","","","","","",""
"1956","TOP2A","UBTD1","","TPT1","","WBP5","","","","","","","","","","","","","","","","","","","","","",""
"1957","TOP2B","UGDH","","TPX2","","WDFY2","","","","","","","","","","","","","","","","","","","","","",""
"1958","TOX2","UGT2B7","","TRA2A","","WDR41","","","","","","","","","","","","","","","","","","","","","",""
"1959","TP53BP1","UHRF1","","TRA2B","","WDR45","","","","","","","","","","","","","","","","","","","","","",""
"1960","TPD52L1","ULBP1","","TRAFD1","","WDR45L","","","","","","","","","","","","","","","","","","","","","",""
"1961","TPGS2","UNC5B","","TRAPPC10","","WDR6","","","","","","","","","","","","","","","","","","","","","",""
"1962","TPM3","UNC5C","","TRAPPC6B","","WFS1","","","","","","","","","","","","","","","","","","","","","",""
"1963","TPRA1","UQCR10","","TRERF1","","WIPI1","","","","","","","","","","","","","","","","","","","","","",""
"1964","TPT1","UQCRB","","TRHDE","","WNT6","","","","","","","","","","","","","","","","","","","","","",""
"1965","TPX2","UQCRFS1","","TRIB1","","WRAP53","","","","","","","","","","","","","","","","","","","","","",""
"1966","TRA2A","URI1","","TRIB3","","WSB1","","","","","","","","","","","","","","","","","","","","","",""
"1967","TRA2B","USF1","","TRIM16L","","WSCD2","","","","","","","","","","","","","","","","","","","","","",""
"1968","TRAFD1","USP14","","TRIM24","","WT1","","","","","","","","","","","","","","","","","","","","","",""
"1969","TRAPPC10","USP22","","TRIM25","","XKR8","","","","","","","","","","","","","","","","","","","","","",""
"1970","TRAPPC6B","USP3","","TRIM5","","XPO1","","","","","","","","","","","","","","","","","","","","","",""
"1971","TRERF1","USP36","","TRIM8","","XPO5","","","","","","","","","","","","","","","","","","","","","",""
"1972","TRHDE","USP46","","TRIOBP","","XPOT","","","","","","","","","","","","","","","","","","","","","",""
"1973","TRIB1","USP48","","TRIP12","","XRCC5","","","","","","","","","","","","","","","","","","","","","",""
"1974","TRIB3","USP5","","TRMT1L","","XRCC6","","","","","","","","","","","","","","","","","","","","","",""
"1975","TRIM16L","UTP3","","TRMT61A","","XRCC6BP1","","","","","","","","","","","","","","","","","","","","","",""
"1976","TRIM24","UTRN","","TROAP","","XRN2","","","","","","","","","","","","","","","","","","","","","",""
"1977","TRIM25","UVRAG","","TRPS1","","XXYLT1","","","","","","","","","","","","","","","","","","","","","",""
"1978","TRIM5","VANGL1","","TRPV6","","YDJC","","","","","","","","","","","","","","","","","","","","","",""
"1979","TRIM8","VAV3","","TSC22D1","","YIPF5","","","","","","","","","","","","","","","","","","","","","",""
"1980","TRIOBP","VBP1","","TSC22D3","","YLPM1","","","","","","","","","","","","","","","","","","","","","",""
"1981","TRIP12","VCAN","","TSEN15","","YRDC","","","","","","","","","","","","","","","","","","","","","",""
"1982","TRMT1L","VCP","","TSHR","","YWHAE","","","","","","","","","","","","","","","","","","","","","",""
"1983","TRMT61A","VDAC3","","TSHZ1","","YWHAH","","","","","","","","","","","","","","","","","","","","","",""
"1984","TROAP","VHL","","TSPAN12","","ZBED2","","","","","","","","","","","","","","","","","","","","","",""
"1985","TRPS1","VIT","","TSPAN13","","ZBTB7B","","","","","","","","","","","","","","","","","","","","","",""
"1986","TRPV6","VLDLR","","TSPAN3","","ZC3H13","","","","","","","","","","","","","","","","","","","","","",""
"1987","TSC22D1","VOPP1","","TSPO","","ZCCHC11","","","","","","","","","","","","","","","","","","","","","",""
"1988","TSC22D3","VPS18","","TSPYL1","","ZCCHC17","","","","","","","","","","","","","","","","","","","","","",""
"1989","TSEN15","VPS37A","","TSSK6","","ZCCHC2","","","","","","","","","","","","","","","","","","","","","",""
"1990","TSHR","VPS37C","","TSTD2","","ZCCHC7","","","","","","","","","","","","","","","","","","","","","",""
"1991","TSHZ1","VPS72","","TTC1","","ZDBF2","","","","","","","","","","","","","","","","","","","","","",""
"1992","TSPAN12","VRK1","","TTC17","","ZDHHC20","","","","","","","","","","","","","","","","","","","","","",""
"1993","TSPAN13","VTA1","","TTC19","","ZDHHC3","","","","","","","","","","","","","","","","","","","","","",""
"1994","TSPAN3","WAC","","TTC30A","","ZDHHC9","","","","","","","","","","","","","","","","","","","","","",""
"1995","TSPO","WASF2","","TTC30B","","ZFAND2A","","","","","","","","","","","","","","","","","","","","","",""
"1996","TSPYL1","WASH1","","TTC39A","","ZFAND2B","","","","","","","","","","","","","","","","","","","","","",""
"1997","TSSK6","WBP11","","TTC39B","","ZFAND3","","","","","","","","","","","","","","","","","","","","","",""
"1998","TSTD2","WBP5","","TTC7B","","ZFC3H1","","","","","","","","","","","","","","","","","","","","","",""
"1999","TTC1","WDFY2","","TTK","","ZFHX4","","","","","","","","","","","","","","","","","","","","","",""
"2000","TTC17","WDR33","","TTPAL","","ZFP28","","","","","","","","","","","","","","","","","","","","","",""
"2001","TTC19","WDR41","","TUB","","ZFP64","","","","","","","","","","","","","","","","","","","","","",""
"2002","TTC30A","WDR45","","TUBA1A","","ZFPL1","","","","","","","","","","","","","","","","","","","","","",""
"2003","TTC30B","WDR45L","","TUBB","","ZFYVE9","","","","","","","","","","","","","","","","","","","","","",""
"2004","TTC39A","WDR6","","TUBB3","","ZMIZ2","","","","","","","","","","","","","","","","","","","","","",""
"2005","TTC39B","WFS1","","TUBB4A","","ZMYM3","","","","","","","","","","","","","","","","","","","","","",""
"2006","TTC7B","WIPI1","","TUBB4B","","ZMYND8","","","","","","","","","","","","","","","","","","","","","",""
"2007","TTK","WNT6","","TUBD1","","ZNF12","","","","","","","","","","","","","","","","","","","","","",""
"2008","TTPAL","WRAP53","","TULP4","","ZNF133","","","","","","","","","","","","","","","","","","","","","",""
"2009","TUB","WSB1","","TWSG1","","ZNF140","","","","","","","","","","","","","","","","","","","","","",""
"2010","TUBA1A","WSCD2","","TXLNG","","ZNF146","","","","","","","","","","","","","","","","","","","","","",""
"2011","TUBB","WT1","","TXNDC11","","ZNF213","","","","","","","","","","","","","","","","","","","","","",""
"2012","TUBB3","XBP1","","TXNDC15","","ZNF259","","","","","","","","","","","","","","","","","","","","","",""
"2013","TUBB4A","XKR8","","TXNDC9","","ZNF26","","","","","","","","","","","","","","","","","","","","","",""
"2014","TUBB4B","XPO1","","TXNL4B","","ZNF28","","","","","","","","","","","","","","","","","","","","","",""
"2015","TUBD1","XPO5","","TXNRD1","","ZNF280C","","","","","","","","","","","","","","","","","","","","","",""
"2016","TUBE1","XPOT","","TYMP","","ZNF295","","","","","","","","","","","","","","","","","","","","","",""
"2017","TULP4","XRCC5","","TYW5","","ZNF319","","","","","","","","","","","","","","","","","","","","","",""
"2018","TWSG1","XRCC6","","UAP1","","ZNF354A","","","","","","","","","","","","","","","","","","","","","",""
"2019","TXLNG","XRCC6BP1","","UBAC1","","ZNF358","","","","","","","","","","","","","","","","","","","","","",""
"2020","TXNDC11","XRN2","","UBAP2L","","ZNF383","","","","","","","","","","","","","","","","","","","","","",""
"2021","TXNDC15","XXYLT1","","UBE2C","","ZNF408","","","","","","","","","","","","","","","","","","","","","",""
"2022","TXNDC9","YDJC","","UBE2E1","","ZNF410","","","","","","","","","","","","","","","","","","","","","",""
"2023","TXNL4B","YIPF5","","UBE2F","","ZNF426","","","","","","","","","","","","","","","","","","","","","",""
"2024","TXNRD1","YLPM1","","UBE2L3","","ZNF434","","","","","","","","","","","","","","","","","","","","","",""
"2025","TYMP","YRDC","","UBE2N","","ZNF473","","","","","","","","","","","","","","","","","","","","","",""
"2026","TYW5","YWHAE","","UBE2T","","ZNF496","","","","","","","","","","","","","","","","","","","","","",""
"2027","UAP1","YWHAH","","UBE2V1","","ZNF524","","","","","","","","","","","","","","","","","","","","","",""
"2028","UBAC1","ZBED2","","UBE2V2","","ZNF528","","","","","","","","","","","","","","","","","","","","","",""
"2029","UBAP2L","ZBED3","","UBFD1","","ZNF532","","","","","","","","","","","","","","","","","","","","","",""
"2030","UBE2C","ZBTB7B","","UBQLN2","","ZNF543","","","","","","","","","","","","","","","","","","","","","",""
"2031","UBE2E1","ZC3H13","","UBR3","","ZNF579","","","","","","","","","","","","","","","","","","","","","",""
"2032","UBE2F","ZCCHC11","","UBTD1","","ZNF585B","","","","","","","","","","","","","","","","","","","","","",""
"2033","UBE2L3","ZCCHC17","","UCHL1","","ZNF598","","","","","","","","","","","","","","","","","","","","","",""
"2034","UBE2N","ZCCHC2","","UGDH","","ZNF618","","","","","","","","","","","","","","","","","","","","","",""
"2035","UBE2T","ZCCHC7","","UGT2B7","","ZNF621","","","","","","","","","","","","","","","","","","","","","",""
"2036","UBE2V1","ZDBF2","","UHRF1","","ZNF623","","","","","","","","","","","","","","","","","","","","","",""
"2037","UBE2V2","ZDHHC20","","UHRF1BP1","","ZNF641","","","","","","","","","","","","","","","","","","","","","",""
"2038","UBFD1","ZDHHC3","","ULBP1","","ZNF674","","","","","","","","","","","","","","","","","","","","","",""
"2039","UBQLN2","ZDHHC9","","UNC5B","","ZNF696","","","","","","","","","","","","","","","","","","","","","",""
"2040","UBR3","ZFAND2A","","UNC5C","","ZNF704","","","","","","","","","","","","","","","","","","","","","",""
"2041","UBTD1","ZFAND2B","","UPP1","","ZNF710","","","","","","","","","","","","","","","","","","","","","",""
"2042","UCHL1","ZFAND3","","UQCR10","","ZNF740","","","","","","","","","","","","","","","","","","","","","",""
"2043","UGDH","ZFC3H1","","UQCRB","","ZNF768","","","","","","","","","","","","","","","","","","","","","",""
"2044","UGT2B7","ZFHX4","","UQCRFS1","","ZNF770","","","","","","","","","","","","","","","","","","","","","",""
