"gene" "h24_45vD_log2FoldChange" "h24_45vD_padj" "h24_45v30_log2FoldChange" "h24_45v30_padj" "h24_30vD_log2FoldChange" "h24_30vD_padj" "h8_45vD_log2FoldChange" "h8_45vD_padj" "h8_45v30_log2FoldChange" "h8_45v30_padj" "h8_30vD_log2FoldChange" "h8_30vD_padj"
"PRR11" -0.751923516143627 1.35432678123707e-12 -0.508852370758639 7.85737018776109e-05 NA NA NA NA NA NA NA NA
"ECT2" -0.792282653852789 1.46409350860201e-12 -0.540001509906975 7.09902205554702e-05 NA NA NA NA NA NA NA NA
"CELSR2" -0.632828836051772 1.49855997465449e-12 -0.391831165415932 0.000572160186647029 NA NA NA NA NA NA NA NA
"KHDRBS1" -0.554397442361787 1.64721509688819e-12 -0.332759156147756 0.000987840967948641 NA NA NA NA NA NA NA NA
"TNFRSF10B" 1.48686624127874 1.67626171287687e-12 0.83772495947837 0.00252550239683621 NA NA NA NA NA NA NA NA
"AP3M2" 0.698194600864493 1.8477972838402e-12 NA NA NA NA NA NA NA NA NA NA
"CALM3" -0.572905493389939 2.17902426563317e-12 -0.39865558082239 4.87162902011391e-05 NA NA NA NA NA NA NA NA
"CTR9" -0.392254531489936 2.17902426563317e-12 NA NA -0.239090680503733 0.00178903484907795 NA NA NA NA NA NA
"OSBPL6" 1.42372453384948 2.17902426563317e-12 NA NA NA NA NA NA NA NA NA NA
"CYB5B" -0.459408920634701 2.6144777705184e-12 -0.268153208931955 0.00210989600302414 NA NA NA NA NA NA NA NA
"SLC1A4" 1.77119235293479 2.69397298657992e-12 NA NA 1.16323749679975 0.000476977054570848 1.90956966804085 5.56701976832796e-12 NA NA NA NA
"GDF11" -0.787542383906908 3.15452729575079e-12 -0.485885519160218 0.000902599288481258 NA NA NA NA NA NA NA NA
"TGFB2" -1.05303958067555 3.37140679867628e-12 -0.816342920816172 2.52798538603103e-06 NA NA NA NA NA NA NA NA
"KIFC1" -1.06494821557559 3.47992657559525e-12 -0.659055466503515 0.000745295082746795 NA NA NA NA NA NA NA NA
"TSHR" -2.38534067360581 3.76819917380309e-12 -1.39431975129948 0.00212959346299486 NA NA NA NA NA NA NA NA
"PGRMC1" -0.368531261842551 3.92667160661636e-12 -0.320566971066236 6.84507990174829e-08 NA NA NA NA NA NA NA NA
"HSPH1" -0.880131597975185 4.5113324942688e-12 -0.506324010874822 0.00252550239683621 NA NA NA NA NA NA NA NA
"GOSR1" 0.543035512764652 4.85008745417422e-12 0.30408931253619 0.00374321816042764 NA NA NA NA NA NA NA NA
"DGKD" 1.3780698902589 5.02176680118072e-12 NA NA NA NA NA NA NA NA NA NA
"KIF20B" -1.13792726667783 5.34108135685335e-12 -0.636422588581734 0.00422771560117137 NA NA NA NA NA NA NA NA
